Year,Month,Variable,101,102
1922,2,precip,61.75141,61.75141
1922,3,precip,41.402508,41.402508
1922,4,precip,59.73786,59.73786
1922,5,precip,86.12347,86.12347
1922,6,precip,93.80923,93.80923
1922,7,precip,62.89166,62.89166
1922,8,precip,67.942703,67.942703
1922,9,precip,70.45905,70.45905
1922,10,precip,34.41149,34.41149
1922,11,precip,83.16681,83.16681
1922,12,precip,31.800798,31.800798
1923,1,precip,37.542976,37.542976
1923,2,precip,18.170082,18.170082
1923,3,precip,27.591242,27.591242
1923,4,precip,40.592062,40.592062
1923,5,precip,50.094593,50.094593
1923,6,precip,99.38512,99.38512
1923,7,precip,94.18432,94.18432
1923,8,precip,63.56509,63.56509
1923,9,precip,48.364914,48.364914
1923,10,precip,30.479534,30.479534
1923,11,precip,22.764725,22.764725
1923,12,precip,26.197397,26.197397
1924,1,precip,18.955753,18.955753
1924,2,precip,22.18485,22.18485
1924,3,precip,18.192415,18.192415
1924,4,precip,63.409763,63.409763
1924,5,precip,53.117214,53.117214
1924,6,precip,111.685234,111.685234
1924,7,precip,115.820854,115.820854
1924,8,precip,108.75775,108.75775
1924,9,precip,101.4243,101.4243
1924,10,precip,50.503628,50.503628
1924,11,precip,21.952705,21.952705
1924,12,precip,23.850638,23.850638
1925,1,precip,17.52358,17.52358
1925,2,precip,27.704441,27.704441
1925,3,precip,24.518398,24.518398
1925,4,precip,40.337605,40.337605
1925,5,precip,32.451004,32.451004
1925,6,precip,108.32481,108.32481
1925,7,precip,79.78579,79.78579
1925,8,precip,108.98152,108.98152
1925,9,precip,140.30574,140.30574
1925,10,precip,35.007818,35.007818
1925,11,precip,27.537226,27.537226
1925,12,precip,27.675026,27.675026
1926,1,precip,24.45714,24.45714
1926,2,precip,27.504631,27.504631
1926,3,precip,45.74009,45.74009
1926,4,precip,14.2755804,14.2755804
1926,5,precip,57.920815,57.920815
1926,6,precip,93.85987,93.85987
1926,7,precip,96.67417,96.67417
1926,8,precip,91.42807,91.42807
1926,9,precip,131.6354,131.6354
1926,10,precip,70.88046,70.88046
1926,11,precip,51.161366,51.161366
1926,12,precip,31.947794,31.947794
1927,1,precip,27.1396,27.1396
1927,2,precip,39.081165,39.081165
1927,3,precip,37.584665,37.584665
1927,4,precip,52.899418,52.899418
1927,5,precip,79.12969,79.12969
1927,6,precip,77.25418,77.25418
1927,7,precip,98.43438,98.43438
1927,8,precip,90.721146,90.721146
1927,9,precip,47.433052,47.433052
1927,10,precip,42.715023,42.715023
1927,11,precip,50.175907,50.175907
1927,12,precip,40.732313,40.732313
1928,1,precip,21.305701,21.305701
1928,2,precip,14.870148,14.870148
1928,3,precip,29.171095,29.171095
1928,4,precip,65.578373,65.578373
1928,5,precip,29.291822,29.291822
1928,6,precip,135.07668,135.07668
1928,7,precip,158.51378,158.51378
1928,8,precip,160.18619,160.18619
1928,9,precip,111.87321,111.87321
1928,10,precip,83.409164,83.409164
1928,11,precip,19.390698,19.390698
1928,12,precip,28.73755,28.73755
1929,1,precip,38.675003,38.675003
1929,2,precip,14.6141233,14.6141233
1929,3,precip,35.696995,35.696995
1929,4,precip,32.621187,32.621187
1929,5,precip,50.04311,50.04311
1929,6,precip,80.25637,80.25637
1929,7,precip,55.628586,55.628586
1929,8,precip,61.96203,61.96203
1929,9,precip,115.42504,115.42504
1929,10,precip,55.5799,55.5799
1929,11,precip,19.9389105,19.9389105
1929,12,precip,30.021395,30.021395
1930,1,precip,20.832238,20.832238
1930,2,precip,38.516876,38.516876
1930,3,precip,19.458426,19.458426
1930,4,precip,26.816593,26.816593
1930,5,precip,111.3236,111.3236
1930,6,precip,119.2476,119.2476
1930,7,precip,82.06815,82.06815
1930,8,precip,30.487106,30.487106
1930,9,precip,123.373924,123.373924
1930,10,precip,42.28437,42.28437
1930,11,precip,70.0582,70.0582
1930,12,precip,16.1821575,16.1821575
1931,1,precip,16.58556,16.58556
1931,2,precip,13.9345407,13.9345407
1931,3,precip,35.080233,35.080233
1931,4,precip,28.524725,28.524725
1931,5,precip,85.11522,85.11522
1931,6,precip,128.21307,128.21307
1931,7,precip,66.196964,66.196964
1931,8,precip,85.13221,85.13221
1931,9,precip,85.760254,85.760254
1931,10,precip,72.187946,72.187946
1931,11,precip,78.086205,78.086205
1931,12,precip,18.37457,18.37457
1932,1,precip,33.541609,33.541609
1932,2,precip,21.5488615,21.5488615
1932,3,precip,26.91508,26.91508
1932,4,precip,50.287758,50.287758
1932,5,precip,91.759224,91.759224
1932,6,precip,80.00266,80.00266
1932,7,precip,93.47518,93.47518
1932,8,precip,110.480354,110.480354
1932,9,precip,28.16323,28.16323
1932,10,precip,60.546566,60.546566
1932,11,precip,70.263138,70.263138
1932,12,precip,21.275898,21.275898
1933,1,precip,25.39535,25.39535
1933,2,precip,27.65045,27.65045
1933,3,precip,24.985405,24.985405
1933,4,precip,58.16714,58.16714
1933,5,precip,79.70773,79.70773
1933,6,precip,63.324673,63.324673
1933,7,precip,84.027695,84.027695
1933,8,precip,46.513275,46.513275
1933,9,precip,95.83647,95.83647
1933,10,precip,92.14646,92.14646
1933,11,precip,35.75197,35.75197
1933,12,precip,41.745255,41.745255
1934,1,precip,23.923531,23.923531
1934,2,precip,21.320225,21.320225
1934,3,precip,25.190579,25.190579
1934,4,precip,31.272488,31.272488
